t,(Var=C2) C2,(Var=CP) CP,(Var=CT) CT,(Var=EmptySet) EmptySet,(Var=J_Reaction1) J_Reaction1,(Var=J_Reaction2) J_Reaction2,(Var=J_Reaction3) J_Reaction3,(Var=J_Reaction4) J_Reaction4,(Var=J_Reaction5) J_Reaction5,(Var=J_Reaction6) J_Reaction6,(Var=J_Reaction7) J_Reaction7,(Var=J_Reaction8) J_Reaction8,(Var=J_Reaction9) J_Reaction9,(Var=M) M,(Var=pM) pM,(Var=Y) Y,(Var=YP) YP
603,764,764144.451735693,1000000,0,4746.6464305885,764000000,764000000,14998.684579327,0,15000,0,4229.6120843788,5080.3727042812,4746.6464305885,230344.752625095,98.1403748026,7049.3534739646
608,716,716225.539694985,1000000,0,6778.9147778798,716000000,716000000,14998.799214078,0,15000,0,6075.3306720171,7258.3171212891,6778.9147778798,276279.313200314,104.7072352409,10125.5511200285
612,687,686813.388161879,1000000,0,9433.0573284161,687000000,687000000,14999.1150534915,0,15000,0,8288.9468714617,10309.3794009029,9433.0573284161,303066.731682926,109.1935255778,13814.9114524362
615,676,676386.474437234,1000000,0,12497.3085981868,676000000,676000000,14999.5880394595,0,15000,0,10498.0123956113,14315.2771772723,12497.3085981868,310439.817990336,110.8803073859,17496.6873260188
616,675,675240.447336272,1000000,0,16490.0217522262,675000000,675000000,15000.2398589455,0,15000,0,12859.7547769593,20592.128484209,16490.0217522262,307594.273975636,111.073321497,21432.9246282655
617,679,679057.363633176,1000000,0,22501.3852804922,679000000,679000000,15001.2071048275,0,15000,0,15655.9097465625,32496.6381596273,22501.3852804922,297762.171228816,110.4561109872,26093.1829109375
618,686,685848.073875639,1000000,0,31803.3525939301,686000000,686000000,15002.6493435886,0,15000,0,18972.883359223,56349.8842320434,31803.3525939301,281662.693670012,109.3729786162,31621.4722653717
618,696,695815.650032252,1000000,0,48539.0624659441,696000000,696000000,15005.1246623279,0,15000,0,23461.6158286707,112709.903558285,48539.0624659441,254949.423346274,107.8239952036,39102.6930477845
618,710,709831.03452327,1000000,0,80046.4133320064,710000000,710000000,15009.5197907443,0,15000,0,29850.9118707012,245292.794028795,80046.4133320064,209412.641128923,105.7260042231,49751.519784502
619,726,725759.887900105,1000000,0,122820.647372541,726000000,726000000,15015.1000491367,0,15000,0,37348.9829388266,411888.365335809,122820.647372541,150693.582126793,103.4439922864,62248.3048980444
619,745,744648.604644139,1000000,0,166637.521870048,745000000,745000000,15020.3132127635,0,15000,0,46370.8796947374,441274.918059182,166637.521870048,87969.0583953871,100.8550416874,77284.7994912289
619,767,766522.908344317,1000000,0,191100.397967229,767000000,767000000,15022.4759951733,0,15000,0,56629.2491882578,274271.565499922,191100.397967229,41609.9798556969,97.9910439182,94382.0819804296
619,790,789923.065979897,1000000,0,190765.758654144,790000000,790000000,15021.2420087565,0,15000,0,66975.5427608445,121655.287158934,190765.758654144,18521.0617097203,95.0804113444,111625.904601407
619,813,812777.866910872,1000000,0,176938.298747307,813000000,813000000,15018.5189102994,0,15000,0,76110.1981472886,53541.6207897884,176938.298747307,9470.8796982463,92.3900583525,126850.330245481
619,840,839787.09108757,1000000,0,153657.854738027,840000000,840000000,15014.8558202507,0,15000,0,85217.734213272,24391.7191379462,153657.854738027,5715.1135638363,89.3968005677,142029.55702212
619,861,860412.069615016,1000000,0,133750.893585359,861000000,860000000,15012.1163426512,0,15000,0,90562.0756761904,16114.247809331,133750.893585359,4976.4910976192,87.237946054,150936.792793651
620,880,880285.536137068,1000000,0,113649.796715429,880000000,880000000,15009.6121181578,0,15000,0,93970.9617027427,12146.3757807181,113649.796715429,5184.2680600094,85.254224351,156618.269504571
